Volatility 3 Framework 2.27.0

Offset	Name

0x3e801310	\MsFteWds
0x3e809610	\Windows\System32\dot3api.dll
0x3e80b9f0	\Endpoint
0x3e80bf20	\Endpoint
0x3e80c070	\Windows\System32\eappcfg.dll
0x3e80fb00	\Windows\ehome\ehepgres.dll
0x3e8105e0	\Users\Alissa Simpson\Links\desktop.ini
0x3e811220	\Users\Alissa Simpson\Favorites\desktop.ini
0x3e811370	\Users\Alissa Simpson\Downloads\desktop.ini
0x3e811df0	\Windows\System32\SearchFolder.dll
0x3e813070	\Windows\System32\p2pcollab.dll
0x3e813260	\Windows\System32\ListSvc.dll
0x3e813bf0	\Windows\System32\mssitlb.dll
0x3e813d40	\Windows\System32\en-US\FirewallAPI.dll.mui
0x3e815f20	\Windows\System32\wlanhlp.dll
0x3e817070	\Users\Alissa Simpson\Favorites\Links for United States\desktop.ini
0x3e8179c0	\Windows\System32\winevt\Logs\Microsoft-Windows-HomeGroup Provider Service%4Operational.evtx
0x3e817ea0	\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x3e818440	\Windows\System32
0x3e819f20	\Windows\System32\pnrpsvc.dll
0x3e81d160	\Endpoint
0x3e821ae0	\Windows\System32\wlanutil.dll
0x3e823530	\Windows\System32\QAGENTRT.DLL
0x3e824070	\Endpoint
0x3e825b70	\Windows\System32\SearchProtocolHost.exe
0x3e826070	\Windows\System32\onex.dll
0x3e826af0	\Windows\ServiceProfiles\LocalService\AppData\Roaming\PeerNetworking\idstore.sst
0x3e827ae0	\$Directory
0x3e8288a0	\ProgramData\Microsoft\Crypto\RSA\MachineKeys\70c33714c1abfbe0e9eb6a98b63f0b36_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x3e828f20	\Windows\System32\eappprxy.dll
0x3e829100	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Network Shortcuts
0x3e82aaa0	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Network Shortcuts
0x3e82bb30	\Windows\System32\msshooks.dll
0x3e82d2a0	\Windows\System32\StructuredQuery.dll
0x3e82e480	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell (x86).lnk
0x3e82e930	\Windows\System32\Microsoft\Protect\S-1-5-18\Preferred
0x3e82ee60	\$Directory
0x3e82f600	\Windows\System32\en-US\mssvp.dll.mui
0x3e830a20	\Windows\System32\wuapp.exe
0x3e830b70	\Windows\System32\wscinterop.dll
0x3e831110	\$Directory
0x3e832660	\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x3e8327b0	\Windows\System32\wuauclt.exe
0x3e832900	\Windows\System32\werconcpl.dll
0x3e834b40	\Windows\System32\SearchFilterHost.exe
0x3e835b60	\Windows\System32\mscoree.dll
0x3e837070	\Windows\System32\NaturalLanguage6.dll
0x3e8383d0	\Windows\System32\en-US\dnsapi.dll.mui
0x3e838680	\Windows\System32\IdListen.dll
0x3e838dc0	\Windows\System32\mapi32.dll
0x3e83b630	\Users\Alissa Simpson\Pictures\desktop.ini
0x3e83c740	\Program Files\Windows Media Player\en-US\wmpnscfg.exe.mui
0x3e83d320	\Windows\System32\fveui.dll
0x3e83e070	\ProgramData\Microsoft\Windows\Start Menu\Programs\WinRAR\Console RAR manual.lnk
0x3e83e230	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Magnify.lnk
0x3e83e450	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x3e83edc0	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\1041748285595fb8.customDestinations-ms
0x3e8407c0	\Windows\System32\hgprint.dll
0x3e8438c0	\Windows\ServiceProfiles\LocalService\AppData\Roaming\PeerNetworking\idstore.sst.new
0x3e844700	\Windows\System32\p2psvc.dll
0x3e844c30	\Windows\System32\UIAnimation.dll
0x3e846940	\Windows\System32\mssvp.dll
0x3e8493d0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Print Management.lnk
0x3e849f20	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\337ed59af273c758.customDestinations-ms
0x3e84a070	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk
0x3e84ace0	\Windows\System32\P2PGraph.dll
0x3e84c990	\Windows\System32\WWanAPI.dll
0x3e84ce90	\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\SystemCertificates\My\Certificates\7BB81AC141230E70E03D8F881C28B39C783CCD00
0x3e8505e0	\Program Files\Windows Media Player\wmpnscfg.exe
0x3e8518a0	\Windows\System32\es.dll
0x3e851a80	\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnostics-Performance%4Operational.evtx
0x3e852070	\Users\Alissa Simpson\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
0x3e852510	\$Directory
0x3e852b70	\Windows\System32\drttransport.dll
0x3e855ba0	\$Directory
0x3e8562f0	\Program Files\Windows Media Player\wmpnssci.dll
0x3e856d00	\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\SystemCertificates\My
0x3e85b070	\Endpoint
0x3e85b620	\Windows\System32\en-US\p2psvc.dll.mui
0x3e85bdd0	\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\UsrClass.dat
0x3e85bf20	\Windows\System32\wwapi.dll
0x3e85e410	\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\tmp.edb
0x3e85e8a0	\Windows\System32\AdapterTroubleshooter.exe
0x3e85f840	\Endpoint
0x3e860070	\ProgramData\Microsoft\Crypto\RSA\MachineKeys\325e532bbdc789da6ab5e9368c8fd719_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x3e860d50	\ProgramData\Microsoft\Crypto\RSA\MachineKeys\395c313ac58a1378ef8960b5fc447dd6_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x3e861070	\Windows\System32\QAGENT.DLL
0x3e861d00	\Windows\System32\cryptnet.dll
0x3e862dd0	\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\edb.log
