Volatility 3 Framework 2.27.0

PID	Process	Offset	Start VPN	End VPN	Tag	Protection	CommitCharge	PrivateMemory	Parent	File	File output

1512	WinRAR.exe	0xfffffa8001019ef0	0x77a70000	0x77b8efff	Vad 	PAGE_EXECUTE_WRITECOPY	4	0	0xfa8001010f78	\Windows\System32\kernel32.dll	Disabled
1512	WinRAR.exe	0xfffffa800100e1e0	0x2a80000	0x2a8ffff	VadS	PAGE_READWRITE	9	1	0xfa8001019ef0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101bcb0	0x1bf0000	0x1f18fff	Vad 	PAGE_READONLY	0	0	0xfa800100e1e0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001033930	0x1a0000	0x29ffff	Vadm	PAGE_READWRITE	256	1	0xfa800101bcb0	N/A	Disabled
1512	WinRAR.exe	0xfffffa80010042e0	0x30000	0x33fff	Vad 	PAGE_READONLY	0	0	0xfa8001033930	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001004400	0x10000	0x1ffff	Vad 	PAGE_READWRITE	0	0	0xfa80010042e0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101cc40	0x20000	0x20fff	Vadm	PAGE_READWRITE	1	1	0xfa8001004400	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101d970	0x160000	0x160fff	Vadm	PAGE_READWRITE	1	1	0xfa80010042e0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103fc50	0x50000	0x14ffff	Vadm	PAGE_READWRITE	59	1	0xfa800101d970	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001018510	0x40000	0x42fff	Vad 	PAGE_READONLY	0	0	0xfa800103fc50	N/A	Disabled
1512	WinRAR.exe	0xfffffa8000eba460	0x150000	0x150fff	VadS	PAGE_READWRITE	1	1	0xfa800103fc50	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101ac20	0x180000	0x181fff	Vad 	PAGE_READONLY	0	0	0xfa800101d970	N/A	Disabled
1512	WinRAR.exe	0xfffffa80022558a0	0x170000	0x176fff	Vad 	PAGE_READONLY	0	0	0xfa800101ac20	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101bd40	0x190000	0x191fff	Vad 	PAGE_READWRITE	0	0	0xfa800101ac20	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001014ef0	0x460000	0x483fff	Vad 	PAGE_READONLY	0	0	0xfa8001033930	\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000002.db	Disabled
1512	WinRAR.exe	0xfffffa8000f804c0	0x420000	0x421fff	Vad 	PAGE_READONLY	0	0	0xfa8001014ef0	N/A	Disabled
1512	WinRAR.exe	0xfffffa80010053b0	0x310000	0x40ffff	VadS	PAGE_READWRITE	14	1	0xfa8000f804c0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001012460	0x2a0000	0x306fff	Vad 	PAGE_READONLY	0	0	0xfa80010053b0	\Windows\System32\locale.nls	Disabled
1512	WinRAR.exe	0xfffffa800101cad0	0x410000	0x410fff	Vad 	PAGE_READWRITE	0	0	0xfa80010053b0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800100e2c0	0x440000	0x440fff	Vad 	PAGE_READONLY	0	0	0xfa8000f804c0	N/A	Disabled
1512	WinRAR.exe	0xfffffa80010338a0	0x430000	0x430fff	Vad 	PAGE_READONLY	0	0	0xfa800100e2c0	N/A	Disabled
1512	WinRAR.exe	0xfffffa80010321b0	0x450000	0x450fff	Vadm	PAGE_READWRITE	1	1	0xfa800100e2c0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001019220	0x4c0000	0x4cffff	VadS	PAGE_READWRITE	16	1	0xfa8001014ef0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001014e60	0x490000	0x490fff	Vad 	PAGE_READWRITE	0	0	0xfa8001019220	N/A	Disabled
1512	WinRAR.exe	0xfffffa80010146f0	0x4a0000	0x4b0fff	Vad 	PAGE_READONLY	0	0	0xfa8001014e60	\Windows\System32\C_850.NLS	Disabled
1512	WinRAR.exe	0xfffffa800101cce0	0x660000	0x7e0fff	Vadm	PAGE_READONLY	0	0	0xfa8001019220	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101dd20	0x4d0000	0x657fff	Vad 	PAGE_READONLY	0	0	0xfa800101cce0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101dab0	0x7f0000	0x1beffff	Vad 	PAGE_READONLY	0	0	0xfa800101cce0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8000fae4c0	0x2460000	0x255ffff	VadS	PAGE_READWRITE	5	1	0xfa800101bcb0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800100e550	0x2030000	0x20affff	VadS	PAGE_READWRITE	26	1	0xfa8000fae4c0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800102bc60	0x2000000	0x2010fff	Vad 	PAGE_READONLY	0	0	0xfa800100e550	\Windows\System32\C_852.NLS	Disabled
1512	WinRAR.exe	0xfffffa800101cb60	0x1f20000	0x1ffefff	Vad 	PAGE_READONLY	0	0	0xfa800102bc60	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103a1d0	0x2020000	0x2021fff	Vad 	PAGE_READONLY	0	0	0xfa800102bc60	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001014900	0x20e0000	0x215ffff	VadS	PAGE_READWRITE	29	1	0xfa800100e550	N/A	Disabled
1512	WinRAR.exe	0xfffffa800102b6f0	0x20b0000	0x20c0fff	Vad 	PAGE_READONLY	0	0	0xfa8001014900	\Windows\System32\C_866.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001031390	0x20d0000	0x20d0fff	VadS	PAGE_READWRITE	1	1	0xfa800102b6f0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800102ca70	0x2430000	0x2440fff	Vad 	PAGE_READONLY	0	0	0xfa8001014900	\Windows\System32\C_874.NLS	Disabled
1512	WinRAR.exe	0xfffffa800101ca40	0x2160000	0x242efff	Vad 	PAGE_READONLY	0	0	0xfa800102ca70	\Windows\Globalization\Sorting\SortDefault.nls	Disabled
1512	WinRAR.exe	0xfffffa8001031d90	0x2450000	0x2450fff	Vadm	PAGE_READWRITE	1	1	0xfa800102ca70	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001018e00	0x27d0000	0x28cffff	VadS	PAGE_READWRITE	4	1	0xfa8000fae4c0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101cbf0	0x25e0000	0x26dffff	VadS	PAGE_READWRITE	4	1	0xfa8001018e00	N/A	Disabled
1512	WinRAR.exe	0xfffffa800102abc0	0x2590000	0x25c0fff	Vad 	PAGE_READONLY	0	0	0xfa800101cbf0	\Windows\System32\C_936.NLS	Disabled
1512	WinRAR.exe	0xfffffa800102e2e0	0x2560000	0x2587fff	Vad 	PAGE_READONLY	0	0	0xfa800102abc0	\Windows\System32\C_932.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001031a20	0x25d0000	0x25d1fff	Vad 	PAGE_READONLY	0	0	0xfa800102abc0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001004010	0x27a0000	0x27b0fff	Vad 	PAGE_READONLY	0	0	0xfa800101cbf0	\Windows\System32\C_1250.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001019100	0x26e0000	0x279ffff	Vad 	PAGE_WRITECOPY	192	0	0xfa8001004010	\Windows\System32\en-US\KernelBase.dll.mui	Disabled
1512	WinRAR.exe	0xfffffa80010330b0	0x27c0000	0x27c0fff	VadS	PAGE_READWRITE	1	1	0xfa8001004010	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001016df0	0x2910000	0x2940fff	Vad 	PAGE_READONLY	0	0	0xfa8001018e00	\Windows\System32\C_950.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001016e80	0x28d0000	0x2900fff	Vad 	PAGE_READONLY	0	0	0xfa8001016df0	\Windows\System32\C_949.NLS	Disabled
1512	WinRAR.exe	0xfffffa800103b910	0x2970000	0x2971fff	Vadm	PAGE_READWRITE	2	1	0xfa8001016df0	N/A	Disabled
1512	WinRAR.exe	0xfffffa80010041c0	0x2950000	0x2960fff	Vad 	PAGE_READONLY	0	0	0xfa800103b910	\Windows\System32\C_1251.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001014e10	0x2980000	0x2a7ffff	VadS	PAGE_READWRITE	5	1	0xfa800103b910	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001030520	0x3990000	0x3a8ffff	VadS	PAGE_READWRITE	4	1	0xfa800100e1e0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001031cf0	0x3720000	0x381ffff	Vadm	PAGE_READWRITE	256	1	0xfa8001030520	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001033100	0x3560000	0x3570fff	Vad 	PAGE_READONLY	0	0	0xfa8001031cf0	\Windows\System32\C_1258.NLS	Disabled
1512	WinRAR.exe	0xfffffa80010040a0	0x34e0000	0x34f0fff	Vad 	PAGE_READONLY	0	0	0xfa8001033100	\Windows\System32\C_1254.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001019190	0x2b90000	0x34bffff	Vad 	PAGE_READONLY	0	0	0xfa80010040a0	\Windows\Fonts\StaticCache.dat	Disabled
1512	WinRAR.exe	0xfffffa80010339d0	0x2a90000	0x2b8ffff	Vadm	PAGE_READWRITE	180	1	0xfa8001019190	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001004130	0x34c0000	0x34d0fff	Vad 	PAGE_READONLY	0	0	0xfa8001019190	\Windows\System32\C_1253.NLS	Disabled
1512	WinRAR.exe	0xfffffa80010121d0	0x3520000	0x3530fff	Vad 	PAGE_READONLY	0	0	0xfa80010040a0	\Windows\System32\C_1256.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001012010	0x3500000	0x3510fff	Vad 	PAGE_READONLY	0	0	0xfa80010121d0	\Windows\System32\C_1255.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001033010	0x3540000	0x3550fff	Vad 	PAGE_READONLY	0	0	0xfa80010121d0	\Windows\System32\C_1257.NLS	Disabled
1512	WinRAR.exe	0xfffffa8001031ed0	0x36e0000	0x36f1fff	Vadm	PAGE_READWRITE	18	1	0xfa8001033100	N/A	Disabled
1512	WinRAR.exe	0xfffffa8000f9f990	0x3680000	0x36bffff	VadS	PAGE_READWRITE	1	1	0xfa8001031ed0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800101b0d0	0x3580000	0x367ffff	VadS	PAGE_READWRITE	1	1	0xfa8000f9f990	N/A	Disabled
1512	WinRAR.exe	0xfffffa8000e879d0	0x36c0000	0x36d1fff	Vadm	PAGE_READWRITE	18	1	0xfa8000f9f990	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001032110	0x3700000	0x3700fff	Vadm	PAGE_READWRITE	1	1	0xfa8001031ed0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103c230	0x3710000	0x3711fff	Vadm	PAGE_READWRITE	2	1	0xfa8001032110	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103e980	0x38f0000	0x38f1fff	Vadm	PAGE_READWRITE	2	1	0xfa8001031cf0	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001031e30	0x38d0000	0x38d1fff	Vadm	PAGE_READWRITE	2	1	0xfa800103e980	N/A	Disabled
1512	WinRAR.exe	0xfffffa8001031f70	0x3870000	0x38b7fff	Vadm	PAGE_READWRITE	72	1	0xfa8001031e30	N/A	Disabled
1512	WinRAR.exe	0xfffffa8000e80bd0	0x3820000	0x3867fff	Vadm	PAGE_READWRITE	72	1	0xfa8001031f70	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103eac0	0x38c0000	0x38c1fff	Vadm	PAGE_READWRITE	2	1	0xfa8001031f70	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103ea20	0x38e0000	0x38e1fff	Vadm	PAGE_READWRITE	2	1	0xfa8001031e30	N/A	Disabled
1512	WinRAR.exe	0xfffffa80010320c0	0x3930000	0x393ffff	VadS	PAGE_READWRITE	10	1	0xfa800103e980	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103e840	0x3910000	0x3911fff	Vadm	PAGE_READWRITE	2	1	0xfa80010320c0	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103e8e0	0x3900000	0x3901fff	Vadm	PAGE_READWRITE	2	1	0xfa800103e840	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103e7a0	0x3920000	0x3921fff	Vadm	PAGE_READWRITE	2	1	0xfa800103e840	N/A	Disabled
1512	WinRAR.exe	0xfffffa800103e660	0x3970000	0x3971fff	Vadm	PAGE_READWRITE	2	1	0xfa80010320c0	N/A	Disabled
