Volatility 3 Framework 2.27.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xfa8000ca0040	80	570	N/A	False	2019-12-11 13:41:25.000000 UTC	N/A	Disabled
248	4	smss.exe	0xfa800148f040	3	37	N/A	False	2019-12-11 13:41:25.000000 UTC	N/A	Disabled
320	312	csrss.exe	0xfa800154f740	9	457	0	False	2019-12-11 13:41:32.000000 UTC	N/A	Disabled
368	360	csrss.exe	0xfa8000ca81e0	7	199	1	False	2019-12-11 13:41:33.000000 UTC	N/A	Disabled
376	248	psxss.exe	0xfa8001c45060	18	786	0	False	2019-12-11 13:41:33.000000 UTC	N/A	Disabled
416	360	winlogon.exe	0xfa8001c5f060	4	118	1	False	2019-12-11 13:41:34.000000 UTC	N/A	Disabled
424	312	wininit.exe	0xfa8001c5f630	3	75	0	False	2019-12-11 13:41:34.000000 UTC	N/A	Disabled
484	424	services.exe	0xfa8001c98530	13	219	0	False	2019-12-11 13:41:35.000000 UTC	N/A	Disabled
492	424	lsass.exe	0xfa8001ca0580	9	764	0	False	2019-12-11 13:41:35.000000 UTC	N/A	Disabled
500	424	lsm.exe	0xfa8001ca4b30	11	185	0	False	2019-12-11 13:41:35.000000 UTC	N/A	Disabled
588	484	svchost.exe	0xfa8001cf4b30	11	358	0	False	2019-12-11 13:41:39.000000 UTC	N/A	Disabled
652	484	VBoxService.ex	0xfa8001d327c0	13	137	0	False	2019-12-11 13:41:40.000000 UTC	N/A	Disabled
720	484	svchost.exe	0xfa8001d49b30	8	279	0	False	2019-12-11 13:41:41.000000 UTC	N/A	Disabled
816	484	svchost.exe	0xfa8001d8c420	23	569	0	False	2019-12-11 13:41:42.000000 UTC	N/A	Disabled
852	484	svchost.exe	0xfa8001da5b30	28	542	0	False	2019-12-11 13:41:43.000000 UTC	N/A	Disabled
876	484	svchost.exe	0xfa8001da96c0	32	941	0	False	2019-12-11 13:41:43.000000 UTC	N/A	Disabled
472	484	svchost.exe	0xfa8001e1bb30	19	476	0	False	2019-12-11 13:41:47.000000 UTC	N/A	Disabled
1044	484	svchost.exe	0xfa8001e50b30	14	366	0	False	2019-12-11 13:41:48.000000 UTC	N/A	Disabled
1208	484	spoolsv.exe	0xfa8001eba230	13	282	0	False	2019-12-11 13:41:51.000000 UTC	N/A	Disabled
1248	484	svchost.exe	0xfa8001eda060	19	313	0	False	2019-12-11 13:41:52.000000 UTC	N/A	Disabled
1372	484	svchost.exe	0xfa8001f58890	22	295	0	False	2019-12-11 13:41:54.000000 UTC	N/A	Disabled
1416	484	TCPSVCS.EXE	0xfa8001f91b30	4	97	0	False	2019-12-11 13:41:55.000000 UTC	N/A	Disabled
1508	484	sppsvc.exe	0xfa8000d3c400	4	141	0	False	2019-12-11 14:16:06.000000 UTC	N/A	Disabled
